hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
193,HMG box domain binding,GATA3 GATA5 ONECUT1 PAX3 PAX6 PAX7 POU4F3 PRDM13 SP8 SP9 TFAP2A TFAP2B TFAP2C TFAP2D TFAP2E,
208,Hsp70 protein binding,AARS2 APEH APOF ATP6V0D2 CASP6 CNP DNAJA1 DNAJA2 DNAJA4 DNAJB1 DNAJB13 DNAJB14 DNAJB2 DNAJB4 DNAJB5 DNAJB6 DNAJB7 DNAJB8 DNAJB9 DNAJC18 DPP8 ENGASE ERO1A FCSK FKBP4 HSPA12A HSPA4L IDE IRGC NDRG1 NDRG2 NDRG3 NDRG4 PFAS PPID PREP RAG2 TTLL12,
35,IgG immunoglobulin complex,B2M IGHA1 IGHA2 IGHD IGHE IGHG1 IGHG2 IGHG3 IGHG4 IGHM IGKC IGLC1 IGLC2 IGLC3 IGLC7 IGLL1 IGLL5,
226,IgG receptor activity,CD300A CD300C CD300H CD300LB CD300LD CD300LF CD300LG CD8B2 CEACAM21 CEACAM3 CEACAM4 FCER1A FCGR1A FCGR2A FCGR2B FCGR2C FCGR3A FCGR3B FCRL1 FCRL2 FCRL3 FCRL4 FCRL5 FCRL6 HAVCR2 LAIR1 LY9 NCR2 OSCAR PILRA PILRB SIGLEC10 SIGLEC11 SIRPB1 SIRPD SIRPG,
358,L-amino acid catabolic process,AACS AADAT AASS ABAT ACACB ACCSL ACMSD ACOT12 ACOX1 ACOX2 ACOX3 ACOXL ACSBG1 ACSBG2 ACSF2 ACSL1 ACSL3 ACSL5 ACSL6 ACSS1 ACSS2 ACSS3 ADSL AGXT AGXT2 AHCYL2 ALAS1 ALDH3B1 ALDH3B2 AOX1 ARG1 ASL ASRGL1 BHMT BHMT2 CBS CHDH CMBL CNDP2 CPS1 CRYL1 CSAD CTH DCXR DECR2 DHRS11 DHRS2 DHRS4 DHRS4L2 DHTKD1 DMGDH DPYD ENOSF1 EPHX2 ETNPPL FBP2 FDFT1 FGGY FTCD GAD1 GAD2 GADL1 GCAT GCK GCKR GFPT1 GFPT2 GLS2 GPD1 GPT GPT2 GRHPR HAL HAO1 HDC HGD HK3 HKDC1 HMGCS1 HPD HSD17B14 HSD17B8 IREB2 KYAT1 KYAT3 MTHFD1 MTHFD1L NADSYN1 NQO1 OXCT1 PAH PAPSS2 PCK2 PECR PEPD PGM5 PHYKPL POR PSAT1 RIDA SARDH SLC27A2 SLC27A6 SORD SPTLC3 TAT TKFC UGDH UGP2 UPB1 UROC1 XDH,
309,L-leucine binding,FBXL5 GRTP1 HPS1 MKLN1 MOB1A MOB1B MOB2 MOB3A MOB3B MOB3C MTMR2 NPLOC4 NRBP1 PI4KB PIP4K2A PIP4K2B PTPA RLBP1 SESN1 SESN2 SESN3 TBC1D20 TTPAL TWF2 VIPAS39 ZFYVE27,
80,M band,IGFN1 IGSF22 MYBPC1 MYBPC2 MYBPC3 MYBPH MYBPHL MYLK MYOM1 MYOM2 MYOM3 OBSL1 SPEG SPEGNB,
384,MAP kinase phosphatase activity,ARFGAP3 ATAT1 BEND6 BTG3 BTG4 C16orf72 C16orf87 CDK5R2 CNBP CPSF4L CUEDC1 DEDD2 DPF1 DPF2 DUSP1 DUSP2 DUSP4 DUSP5 DUSP6 GRXCR2 ING2 ING4 ING5 KMT5A LIMD2 LMO3 LSM11 MBD1 MSANTD2 NOL3 PHF1 PHLDA2 PHLDA3 PKMYT1 PPP4R2 PRICKLE4 PURA PURB PURG RANBP3L RNF10 RTL6 SHFL SNX15 SOCS1 SOCS3 TCEA2 TENT5A TRADD TRIB1 TRIB2 UNK URI1 WRNIP1 ZFAND3 ZFAND5 ZFAND6 ZNF512 ZNF598,
151,MKS complex,CAPN7 CATSPERB CATSPERD CATSPERE CATSPERG ITFG1 KCNMB1 KCNMB2 PARP4 TCTN1 TCTN2 TCTN3 TMEM231 TMEM67 VWA5A VWA5B1 VWA5B2,
457,N-methyltransferase activity,ADAL AK1 AK6 ALLC EEF2KMT EGLN3 FAM86B2 GATD1 HNMT METTL21C MRM1 NANP NIF3L1 NT5C1A NT5C3A PCTP PHOSPHO1 PNMT SRM TMEM177 UCK1 VCPKMT,
357,NADH metabolic process,ACO1 ALDH1L1 ALDH1L2 ALDH3A1 ALDH3A2 ALDOB BDH2 DDC EHHADH ETFDH GLDC HK1 HK2 HMGCR MAT1A ME1 ME2 MTR OGDHL PC PCK1 PFKL,
177,NLS-bearing protein import into nucleus,AHCTF1 KIF13A KIF13B NRAP PREX2 RANBP2 RGPD1 RGPD2 RGPD3 RGPD4 RGPD5 RGPD6 RGPD8 RICTOR TMEM131 TMEM131L TOGARAM1 UNC13A XRN1,
318,NLS-dependent protein nuclear import complex,CNOT9 COPG2 KPNA2 KPNA3 KPNA5 KPNA6 KPNA7 PPP2R1B RIC1 TRAPPC11,
0,No significant GO enrichment,TRBV10-1 TRBV10-2 TRBV10-3 TRBV11-1 TRBV11-3 TRBV12-3 TRBV12-4 TRBV12-5 TRBV13 TRBV14 TRBV18 TRBV19 TRBV2 TRBV20-1 TRBV23-1 TRBV24-1 TRBV25-1 TRBV27 TRBV28 TRBV29-1 TRBV3-1 TRBV30 TRBV4-1 TRBV4-2 TRBV5-1 TRBV5-4 TRBV5-5 TRBV5-6 TRBV6-1 TRBV6-2 TRBV6-4 TRBV6-5 TRBV6-6 TRBV6-7 TRBV6-8 TRBV7-2 TRBV7-3 TRBV7-6 TRBV7-7 TRBV7-9 TRBV9,
